"year","region","selected_country_of_embarkation","TOTAL_PAX"
1991,"South East Asia","Thailand",781792
1992,"Europe","France",51373
1992,"Europe","Germany",126051
1992,"Europe","United Kingdom",313403
1992,"North East Asia","China",79845
1992,"North East Asia","Hong Kong",649982
1992,"North East Asia","Japan",887487
1992,"South East Asia","Indonesia",1080100
1992,"South East Asia","Malaysia",1695841
1992,"South East Asia","Philippines",179040
1992,"South East Asia","Thailand",841770
1993,"Europe","France",63156
1993,"Europe","Germany",167303
1993,"Europe","United Kingdom",339520
1993,"North East Asia","China",162559
1993,"North East Asia","Hong Kong",724977
1993,"North East Asia","Japan",871121
1993,"South East Asia","Indonesia",1161683
1993,"South East Asia","Malaysia",1817876
1993,"South East Asia","Philippines",208042
1993,"South East Asia","Thailand",1001829
1994,"Europe","France",75541
1994,"Europe","Germany",180258
1994,"Europe","United Kingdom",359168
1994,"North East Asia","China",213334
1994,"North East Asia","Hong Kong",732518
1994,"North East Asia","Japan",961416
1994,"South East Asia","Indonesia",1264796
1994,"South East Asia","Malaysia",1842465
1994,"South East Asia","Philippines",229293
1994,"South East Asia","Thailand",1004300
1994,"South East Asia","Vietnam",99523
1995,"Europe","France",74040
1995,"Europe","Germany",196594
1995,"Europe","United Kingdom",383923
1995,"North East Asia","China",239223
1995,"North East Asia","Hong Kong",794631
1995,"North East Asia","Japan",1049255
1995,"South East Asia","Indonesia",1400259
1995,"South East Asia","Malaysia",1943548
1995,"South East Asia","Philippines",206871
1995,"South East Asia","Thailand",1073803
1995,"South East Asia","Vietnam",118977
1996,"Europe","France",84007
1996,"Europe","Germany",223195
1996,"Europe","United Kingdom",425675
1996,"North East Asia","China",298375
1996,"North East Asia","Hong Kong",886809
1996,"North East Asia","Japan",1104059
1996,"South East Asia","Indonesia",1583190
1996,"South East Asia","Malaysia",1854460
1996,"South East Asia","Philippines",278749
1996,"South East Asia","Thailand",1133831
1996,"South East Asia","Vietnam",126692
1997,"Europe","France",109322
1997,"Europe","Germany",227638
1997,"Europe","United Kingdom",472086
1997,"North East Asia","China",372274
1997,"North East Asia","Hong Kong",816294
1997,"North East Asia","Japan",1085689
1997,"South East Asia","Indonesia",1610042
1997,"South East Asia","Malaysia",1819836
1997,"South East Asia","Philippines",325972
1997,"South East Asia","Thailand",1120612
1997,"South East Asia","Vietnam",130226
1998,"Europe","France",119951
1998,"Europe","Germany",269698
1998,"Europe","United Kingdom",504023
1998,"North East Asia","China",402579
1998,"North East Asia","Hong Kong",792942
1998,"North East Asia","Japan",930250
1998,"South East Asia","Indonesia",1181109
1998,"South East Asia","Malaysia",1601238
1998,"South East Asia","Philippines",306357
1998,"South East Asia","Thailand",1182342
1998,"South East Asia","Vietnam",130976
1999,"Europe","France",144947
1999,"Europe","Germany",293390
1999,"Europe","United Kingdom",578440
1999,"North East Asia","China",480521
1999,"North East Asia","Hong Kong",825906
1999,"North East Asia","Japan",1008117
1999,"South East Asia","Indonesia",1346381
1999,"South East Asia","Malaysia",1544918
1999,"South East Asia","Philippines",346551
1999,"South East Asia","Thailand",1316231
1999,"South East Asia","Vietnam",153777
2000,"Europe","France",143848
2000,"Europe","Germany",303485
2000,"Europe","United Kingdom",658620
2000,"North East Asia","China",572500
2000,"North East Asia","Hong Kong",973616
2000,"North East Asia","Japan",1073364
2000,"South East Asia","Indonesia",1466721
2000,"South East Asia","Malaysia",1676799
2000,"South East Asia","Philippines",369694
2000,"South East Asia","Thailand",1384340
2000,"South East Asia","Vietnam",170431
2001,"Europe","France",152086
2001,"Europe","Germany",330100
2001,"Europe","United Kingdom",665496
2001,"North East Asia","China",626784
2001,"North East Asia","Hong Kong",934322
2001,"North East Asia","Japan",945032
2001,"South East Asia","Indonesia",1472368
2001,"South East Asia","Malaysia",1587481
2001,"South East Asia","Philippines",347929
2001,"South East Asia","Thailand",1429618
2001,"South East Asia","Vietnam",181489
2002,"Europe","France",168145
2002,"Europe","Germany",361985
2002,"Europe","United Kingdom",651812
2002,"North East Asia","China",793705
2002,"North East Asia","Hong Kong",892704
2002,"North East Asia","Japan",950687
2002,"South East Asia","Indonesia",1514750
2002,"South East Asia","Malaysia",1456390
2002,"South East Asia","Philippines",367236
2002,"South East Asia","Thailand",1559816
2002,"South East Asia","Vietnam",204414
2003,"Europe","France",158122
2003,"Europe","Germany",317297
2003,"Europe","United Kingdom",629980
2003,"North East Asia","China",658411
2003,"North East Asia","Hong Kong",639839
2003,"North East Asia","Japan",689011
2003,"South East Asia","Indonesia",1329858
2003,"South East Asia","Malaysia",1078521
2003,"South East Asia","Philippines",327279
2003,"South East Asia","Thailand",1343249
2003,"South East Asia","Vietnam",191558
2004,"Europe","France",195288
2004,"Europe","Germany",349558
2004,"Europe","United Kingdom",678520
2004,"North East Asia","China",1096000
2004,"North East Asia","Hong Kong",914281
2004,"North East Asia","Japan",864039
2004,"South East Asia","Indonesia",1594766
2004,"South East Asia","Malaysia",1210583
2004,"South East Asia","Philippines",402103
2004,"South East Asia","Thailand",1727490
2004,"South East Asia","Vietnam",263036
2005,"Europe","France",201774
2005,"Europe","Germany",365845
2005,"Europe","United Kingdom",663683
2005,"North East Asia","China",1240151
2005,"North East Asia","Hong Kong",1094274
2005,"North East Asia","Japan",843269
2005,"South East Asia","Indonesia",1694533
2005,"South East Asia","Malaysia",1190566
2005,"South East Asia","Philippines",483032
2005,"South East Asia","Thailand",1792407
2005,"South East Asia","Vietnam",340278
2006,"Europe","France",213189
2006,"Europe","Germany",359991
2006,"Europe","United Kingdom",693650
2006,"North East Asia","China",1429960
2006,"North East Asia","Hong Kong",1115728
2006,"North East Asia","Japan",873892
2006,"South East Asia","Indonesia",1781201
2006,"South East Asia","Malaysia",1211660
2006,"South East Asia","Philippines",589589
2006,"South East Asia","Thailand",1950749
2006,"South East Asia","Vietnam",408435
2007,"Europe","France",199854
